GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3ClientMultipartUpload,25,0,0,0,3,0,3,0,3,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,NoContentTypeResolver,5,0,0,0,2,0,2,0,2,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumerBuffer,0,15,0,0,0,6,0,3,0,3
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.MultipartUploadState,0,30,0,0,0,10,0,5,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,ObjectMetadata,0,401,0,56,0,116,0,59,0,31
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload.Builder,0,27,0,0,0,8,0,4,0,4
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,ObjectMetadata.Builder,4,223,1,1,1,63,1,31,0,31
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.Builder,14,73,2,2,4,21,3,8,1,8
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,DefaultContentTypeResolver,0,439,1,7,0,93,1,8,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumer,4,67,0,2,3,16,0,3,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,MultipartUploadRequest,0,33,0,0,0,11,0,6,0,6
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream,42,326,7,25,12,80,7,22,0,13
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,UploadPartParams.Builder,0,64,0,0,0,18,0,7,0,7
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload,169,155,8,10,19,35,10,8,2,7
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,MultipartUploadRequest.Builder,5,34,0,0,2,9,1,4,1,4
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.Builder,0,12,0,0,0,3,0,2,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload,62,104,0,0,25,27,4,5,4,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,UploadPartParams,0,44,0,0,0,15,0,8,0,8
