GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Attribute.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,TaxonomicDataset.Builder,62,0,2,0,12,0,7,0,6,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Variable,147,0,12,0,29,0,20,0,14,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Metadata.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,TaxonomicDataset,105,0,8,0,22,0,16,0,12,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,ProfileData.Builder,82,0,0,0,21,0,7,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,ProfileData,217,0,14,0,37,0,25,0,18,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Depth.Builder,116,0,2,0,26,0,10,0,9,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,PrincipalInvestigator,138,0,10,0,27,0,19,0,14,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Depth,238,0,16,0,41,0,26,0,18,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,QcAttribute,217,0,14,0,37,0,25,0,18,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Variable.Builder,80,0,2,0,18,0,8,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Attribute,139,0,10,0,27,0,19,0,14,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Cast.Builder,571,0,12,0,97,0,37,0,31,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,PrincipalInvestigator.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,QcAttribute.Builder,82,0,0,0,21,0,7,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Cast,947,0,60,0,154,0,82,0,52,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,RowUtils,86,0,10,0,20,0,7,0,2,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Metadata,139,0,10,0,27,0,19,0,14,0
