GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumerBuffer,0,15,0,0,0,6,0,3,0,3
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,NoContentTypeResolver,5,0,0,0,2,0,2,0,2,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3ClientMultipartUpload,5,0,0,0,1,0,1,0,1,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.MultipartUploadState,0,30,0,0,0,10,0,5,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload.Builder,27,0,0,0,8,0,4,0,4,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.Builder,5,64,1,1,1,19,1,8,0,8
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,DefaultContentTypeResolver,0,439,1,7,0,93,1,8,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumer,4,54,0,2,3,9,0,3,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream,42,315,7,23,12,77,7,21,0,13
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload,142,150,8,10,11,33,8,8,0,7
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.Builder,0,12,0,0,0,3,0,2,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload,106,0,0,0,34,0,6,0,6,0
